z centers of edges of histogram bins ; mass density in the z direction
173.8;0.00
173.9;0.00
174.0;0.00
174.1;0.00
174.2;0.00
174.3;0.00
174.4;0.00
174.5;0.00
174.6;0.00
174.7;0.00
174.8;0.00
174.9;0.00
175.0;0.00
175.1;0.00
175.2;0.00
175.3;0.00
175.4;0.00
175.5;0.00
175.6;0.00
175.7;0.00
175.8;0.00
175.9;0.00
176.0;0.00
176.1;0.00
176.2;0.00
176.3;0.00
176.4;0.00
176.5;0.00
176.6;0.00
176.7;0.00
176.8;0.00
176.9;0.00
177.0;0.00
177.1;0.00
177.2;0.00
177.3;0.00
177.4;0.00
177.5;0.00
177.6;0.00
177.7;0.00
177.8;0.00
177.9;0.00
178.0;0.00
178.1;0.00
178.2;0.00
178.3;0.00
178.4;0.00
178.5;0.00
178.6;0.00
178.7;0.00
178.8;0.00
178.9;0.00
179.0;0.00
179.1;0.00
179.2;0.00
179.3;0.00
179.4;0.00
179.5;0.00
179.6;0.00
179.7;0.00
179.8;0.00
179.9;0.00
180.0;0.00
180.1;0.00
180.2;0.00
180.3;0.00
180.4;0.00
180.5;0.00
180.6;0.00
180.7;0.00
180.8;0.00
180.9;0.00
181.0;0.00
181.1;0.00
181.2;0.00
181.3;0.00
181.4;0.00
181.5;0.00
181.6;0.00
181.7;0.00
181.8;0.00
181.9;0.00
182.0;0.00
182.1;0.00
182.2;0.00
182.3;0.00
182.4;0.00
182.5;0.00
182.6;0.00
182.7;0.00
182.8;0.00
182.9;0.00
183.0;0.00
183.1;0.00
183.2;0.00
183.3;0.00
183.4;0.00
183.5;0.00
183.6;0.00
183.7;0.00
183.8;0.00
183.9;0.00
184.0;0.00
184.1;0.00
184.2;0.00
184.3;0.00
184.4;0.00
184.5;0.00
184.6;0.00
184.7;0.00
184.8;0.00
184.9;0.00
185.0;0.00
185.1;0.00
185.2;0.00
185.3;0.00
185.4;0.00
185.5;0.00
185.6;0.00
185.7;0.00
185.8;0.00
185.9;0.00
186.0;0.00
186.1;0.00
186.2;0.00
186.3;0.00
186.4;0.00
186.5;0.00
186.6;0.00
186.7;0.00
186.8;0.00
186.9;0.00
187.0;0.00
187.1;0.00
187.2;0.00
187.3;0.00
187.4;0.00
187.5;0.00
187.6;0.00
187.7;0.00
187.8;0.00
187.9;0.00
188.0;0.00
188.1;0.00
188.2;0.00
188.3;0.00
188.4;0.00
188.5;0.00
188.6;0.00
188.7;0.00
188.8;0.00
188.9;0.00
189.0;0.00
189.1;0.00
189.2;0.00
189.3;0.00
189.4;0.00
189.5;0.00
189.6;0.00
189.7;0.00
189.8;0.00
189.9;0.00
190.0;0.00
190.1;0.00
190.2;0.00
190.3;0.00
190.4;0.00
190.5;0.00
190.6;0.00
190.7;0.00
190.8;0.00
190.9;0.00
191.0;0.00
191.1;0.00
191.2;0.00
191.3;0.00
191.4;0.00
191.5;0.00
191.6;0.00
191.7;0.00
191.8;0.00
191.9;0.00
192.0;0.00
192.1;0.00
192.2;0.00
192.3;0.00
192.4;0.00
192.5;0.00
192.6;0.00
192.7;0.00
192.8;0.00
192.9;0.00
193.0;0.00
193.1;0.00
193.2;0.00
193.3;0.00
193.4;0.00
193.5;0.00
193.6;0.00
193.7;0.00
193.8;0.00
193.9;0.00
194.0;0.00
194.1;0.00
194.2;0.00
194.3;0.00
194.4;0.00
194.5;0.00
194.6;0.00
194.7;0.00
194.8;0.00
194.9;0.00
195.0;0.00
195.1;0.00
195.2;0.00
195.3;0.00
195.4;0.00
195.5;0.00
195.6;0.00
195.7;0.00
195.8;0.00
195.9;0.00
196.0;0.00
196.1;0.00
196.2;0.00
196.3;0.00
196.4;0.00
196.5;0.00
196.6;0.00
196.7;0.00
196.8;0.00
196.9;0.00
197.0;0.00
197.1;0.00
197.2;0.00
197.3;0.00
197.4;0.00
197.5;0.00
197.6;0.00
197.7;0.00
197.8;0.00
197.9;0.00
198.0;0.00
198.1;0.00
198.2;0.00
198.3;0.00
198.4;0.00
198.5;0.00
198.6;0.00
198.7;0.00
198.8;0.00
198.9;0.00
199.0;0.00
199.1;0.00
199.2;0.00
199.3;0.00
199.4;0.00
199.5;0.00
199.6;0.00
199.7;0.00
199.8;0.00
199.9;0.00
200.0;0.00
200.1;0.00
200.2;0.00
200.3;0.00
200.4;0.00
200.5;0.00
200.6;0.00
200.7;0.00
200.8;0.00
200.9;0.00
201.0;0.00
201.1;0.00
201.2;0.00
201.3;0.00
201.4;0.00
201.5;0.00
201.6;0.00
201.7;0.00
201.8;0.00
201.9;0.00
202.0;0.00
202.1;0.00
202.2;0.00
202.3;0.00
202.4;0.00
202.5;0.00
202.6;0.00
202.7;0.00
202.8;0.00
202.9;0.00
203.0;0.00
203.1;0.00
203.2;0.00
203.3;0.00
203.4;0.00
203.5;0.00
203.6;0.00
203.7;0.00
203.8;0.00
203.9;0.00
204.0;0.00
204.1;0.00
